,Lym,others,delta,log2fc,A,p-val,p-adj,p-adj-log,is_significant
Nap1l1,1.4859461190244554,0.814467220483789,0.6714788985406664,0.900781889544705,1.1044753328844281,0.001154954305742277,0.006187255209333626,2.2085019700120934,True
Tyms,1.2490069742552807,0.5778194468914539,0.6711875273638268,1.150861522423145,0.9361484641028072,0.0009757672654139789,0.005451213773262452,2.2635067864683895,True
Card11,0.6434994889861788,-0.02509623849688444,0.6685957274830633,,0.38868729845997746,4.186360413420482e-07,9.035310244792407e-06,5.044056930508902,True
Cct3,1.483678044115475,0.8163243775344874,0.6673536665809877,0.8953559273457905,1.104337472303435,0.002656371197409461,0.011684917290657452,1.932374357327227,True
Topbp1,1.3732844675212865,0.7061691785709169,0.6671152889503696,0.9953145895130414,1.028375947575796,0.0004963699282420297,0.0032162198374213586,2.492654273693494,True
Pik3ip1,0.7631722412793663,0.10076808226854134,0.6624041590108249,2.963551041406077,0.5180014312130379,1.2381754429431049e-05,0.00015038568132912206,3.8227935122535723,True
Cbx3,1.381158289689312,0.7208161607673913,0.6603421289219207,0.9738039625611488,1.0363185058806113,0.002835008937442942,0.012202334020557856,1.913557091022073,True
Hnrnpa0,1.355276768184948,0.6951091505397623,0.6601676176451857,0.9995032307223716,1.0180593738010733,0.002170774962530512,0.010096627732700057,1.995823656082032,True
Rcn3,0.7359366608438281,0.08608318381247554,0.6498534770313527,3.1361370760230494,0.4967281331111423,4.2130600659997196e-05,0.00040903495786405046,3.3882395737562807,True
Cytip,0.2237320713586738,-0.4255345884967985,0.6492666598554723,,-0.15344852981490292,0.0030115651946300607,0.012689179190856997,1.8965664696634208,True
Dusp2,1.0616971202821224,0.4128982978134282,0.6487988224686942,1.406881952736023,0.7968450001992535,0.009039889577543083,0.030643693483196895,1.51365889038738,True
Lsm7,1.431560213247629,0.783340985837839,0.6482192274097901,0.9044464061822378,1.0754988135493164,0.0011603405310280015,0.006193988599793602,2.2080295983094365,True
Rasal1,0.6334071869627548,-0.014805461118062335,0.6482126480808171,,0.3887966508140051,3.347887993072169e-05,0.00033703570400055394,3.4723240895468397,True
Mrgpra2a,0.6511214575056776,0.008059717977949903,0.6430617395277277,6.099062435098622,0.4109820743250827,0.000871004092045744,0.0049582775638277645,2.3046691651307873,True
Hnrnpa3,1.0979671658064838,0.45691088685802056,0.6410562789484633,1.3082212394533252,0.8298000701586837,0.006678805967806653,0.024198572347125552,1.6162102555094415,True
Nrip1,0.7426185218177519,0.10290498768094695,0.639713534136805,2.8963871592850805,0.5086940989564265,0.0015788755404235243,0.0079741188910279,2.098317293462633,True
Gpr55,0.5166307624059354,-0.12131647687908183,0.6379472392850173,,0.2602149621925876,0.0009396149395659404,0.005278735615538991,2.2774700890101904,True
Lig1,1.2045775598135249,0.567054153343942,0.6375234064695828,1.1272338188224875,0.9151888086902206,0.0027622771469867752,0.011992520175051122,1.9210895422465968,True
