,Mono,others,delta,log2fc,A,p-val,p-adj,p-adj-log,is_significant,tf_name
Zscan4f_233,0.006794312166209393,0.0685002323678993,-0.06170592020168991,-3.091040530166689,0.05331611129413549,0.2533383397856811,0.66303980917202,0.17846039560018806,False,Zscan4f
Zscan4ps2_232,0.006794312166209393,0.0685002323678993,-0.06170592020168991,-3.091040530166689,0.05331611129413549,0.2533383397856811,0.66303980917202,0.17846039560018806,False,Zscan4ps2
Egr1_190,-0.12101631877551322,-0.059220205111554396,-0.061796113663958825,1.062861014994166,-0.1362490517814019,0.1447380922101952,0.545551270638428,0.2631644283771604,False,Egr1
Sox11_747,-0.0478013628730511,0.014792811806553093,-0.0625941746796042,,-0.024009314172090703,0.3920620625419621,0.7846893897163331,0.10530221972261862,False,Sox11
Foxk2_310,0.004743881614067281,0.06803760387119637,-0.06329372225712909,-3.492407804257157,0.05156803423644983,0.39456486828643667,0.7846893897163331,0.10530221972261862,False,Foxk2
Foxk1_324,0.004743881614067281,0.06803760387119637,-0.06329372225712909,-3.492407804257157,0.05156803423644983,0.39456486828643667,0.7846893897163331,0.10530221972261862,False,Foxk1
Foxp4_300,0.004743881614067281,0.06803760387119637,-0.06329372225712909,-3.492407804257157,0.05156803423644983,0.39456486828643667,0.7846893897163331,0.10530221972261862,False,Foxp4
Foxp2_301,0.004743881614067281,0.06803760387119637,-0.06329372225712909,-3.492407804257157,0.05156803423644983,0.39456486828643667,0.7846893897163331,0.10530221972261862,False,Foxp2
Foxj2_298,0.004743881614067281,0.06803760387119637,-0.06329372225712909,-3.492407804257157,0.05156803423644983,0.39456486828643667,0.7846893897163331,0.10530221972261862,False,Foxj2
Foxo3_319,0.004743881614067281,0.06803760387119637,-0.06329372225712909,-3.492407804257157,0.05156803423644983,0.39456486828643667,0.7846893897163331,0.10530221972261862,False,Foxo3
Foxp3_311,0.004743881614067281,0.06803760387119637,-0.06329372225712909,-3.492407804257157,0.05156803423644983,0.39456486828643667,0.7846893897163331,0.10530221972261862,False,Foxp3
Klf14_237,0.1793458372445536,0.24279908735250755,-0.06345325010795394,-0.43700301306070394,0.2762851886252802,0.29225773516832476,0.6988445893928709,0.15561939288561805,False,Klf14
Klf11_798,0.1793458372445536,0.24279908735250755,-0.06345325010795394,-0.43700301306070394,0.2762851886252802,0.29225773516832476,0.6988445893928709,0.15561939288561805,False,Klf11
Klf16_874,0.1793458372445536,0.24279908735250755,-0.06345325010795394,-0.43700301306070394,0.2762851886252802,0.29225773516832476,0.6988445893928709,0.15561939288561805,False,Klf16
Klf13_817,0.1793458372445536,0.24279908735250755,-0.06345325010795394,-0.43700301306070394,0.2762851886252802,0.29225773516832476,0.6988445893928709,0.15561939288561805,False,Klf13
Foxl1_367,0.45685056179804057,0.5211434773922481,-0.06429291559420752,-0.19082042070117006,0.5743408661969716,0.5731553795266165,0.9011779824034007,0.04518942750914534,False,Foxl1
Gcm2_835,0.05442855335286067,0.11929681970938638,-0.0648682663565257,-1.117419127211104,0.12016968279938206,0.24464006908649905,0.6578431126045493,0.1818776678665806,False,Gcm2
Terf2_648,0.0639805005945884,0.12949646992290395,-0.06551596932831555,-1.006343179265381,0.13321955947106176,0.1885971917245649,0.6026910257285009,0.21990527527442855,False,Terf2
Pbx4_486,0.17472917413296019,0.24058789432513136,-0.06585872019217118,-0.4612243336049331,0.27221258991663827,0.30616171858891816,0.7106174626195416,0.14836412442039953,False,Pbx4
Pbx2_496,0.17472917413296019,0.24058789432513136,-0.06585872019217118,-0.4612243336049331,0.27221258991663827,0.30616171858891816,0.7106174626195416,0.14836412442039953,False,Pbx2
Hoxb13_547,0.20320890909299197,0.2695685896540755,-0.06635968056108352,-0.4078886947675577,0.3061324314400759,0.3370971196235153,0.7432991487698511,0.12883636455312236,False,Hoxb13
Dobox4_611,-0.017442508829477572,0.049138919091442385,-0.06658142792091995,,0.022684841021786556,0.4767387667330728,0.8511813608473081,0.06997789511692126,False,Dobox4
Trp73_691,0.05713784125747315,0.12375973386469202,-0.06662189260721887,-1.1012758022309233,0.1249220160432269,0.666166318774969,0.9252892805661775,0.033722469085021696,False,Trp73
Foxm1_880,0.08720282514854781,0.15459314431099647,-0.06739031916244866,-0.8203059680981325,0.164654981424616,0.25901112424690886,0.6704470548201463,0.173635512677915,False,Foxm1
Gm10394_576,0.40565209590860146,0.4732638166932954,-0.06761172078469396,-0.22323412553046482,0.5255256512688795,0.19295461836189365,0.6036363517514834,0.21922461434094812,False,Gm10394
Gm10391_575,0.40565209590860146,0.4732638166932954,-0.06761172078469396,-0.22323412553046482,0.5255256512688795,0.19295461836189365,0.6036363517514834,0.21922461434094812,False,Gm10391
Duxbl_544,0.40565209590860146,0.4732638166932954,-0.06761172078469396,-0.22323412553046482,0.5255256512688795,0.19295461836189365,0.6036363517514834,0.21922461434094812,False,Duxbl
Scrt2_221,0.1748650142754012,0.2426529043152609,-0.06778789003985972,-0.4723414307552793,0.2735265829662672,0.2899559166927447,0.6988445893928709,0.15561939288561805,False,Scrt2
Scrt1_205,0.21140659916391188,0.2802239056358318,-0.06881730647191994,-0.40675987029333965,0.31709014042584266,0.36646001970076214,0.7826095335982378,0.10645486591158637,False,Scrt1
Onecut1_826,0.3935738211712486,0.46279650085939766,-0.06922267968814905,-0.23455258482409666,0.5141830336816929,0.6980189791729707,0.9475582390186348,0.02339408784312973,False,Onecut1
Onecut2_827,0.3935738211712486,0.46279650085939766,-0.06922267968814905,-0.23455258482409666,0.5141830336816929,0.6980189791729707,0.9475582390186348,0.02339408784312973,False,Onecut2
Nkx31_439,0.15823063280586833,0.2283091976361576,-0.07007856483028926,-0.5281180779023995,0.2549204146225346,0.2296910463972034,0.6514067618081459,0.1861477376337126,False,Nkx31
Lcor_695,-0.009980811641691794,0.06016603754038877,-0.07014684918208056,,0.03575425724965207,0.19558034257352297,0.6036363517514834,0.21922461434094812,False,Lcor
Nfkb2_699,-1.0162194163870109,-0.945416325101248,-0.0708030912857629,0.10514383155747846,-5.704093318407878,0.47244614170851396,0.8488633808276145,0.07116220107178835,False,Nfkb2
Trp63_853,-0.13864578922974152,-0.06764372572479033,-0.0710020635049512,1.063199140499164,-0.15705295004129136,0.3624187080716754,0.7796421963883359,0.10810466370182004,False,Trp63
Sp1_142,0.16238923648855103,0.23477026593861053,-0.0723810294500595,-0.530949127554555,0.26132590636078534,0.2246786451134103,0.6477757411850252,0.18857532009051017,False,Sp1
Egr2_188,-0.23809011615742617,-0.1648178177918116,-0.07327229836561458,0.5392574982224826,-0.32455251918170747,0.38470659123495077,0.7846893897163331,0.10530221972261862,False,Egr2
Pit1_624,-0.00875848974190044,0.06529737951267245,-0.07405586925457289,,0.04021835389467196,0.2490339490057446,0.66303980917202,0.17846039560018806,False,Pit1
Tcfap2c_3,0.007758028052099231,0.08339665992719304,-0.07563863187509381,-3.2086337050321974,0.06429978566076454,0.10510629000352471,0.46681544846801354,0.3308547801472408,False,Tcfap2c
NP_596,0.10793333516374079,0.18388941349970944,-0.07595607833596865,-0.7646653902761964,0.19649546926377384,0.2821901221405666,0.697175595876694,0.15665782345760243,False,NP
Tcfap4_20,0.04809843747148073,0.1250134289644554,-0.07691499149297465,-1.3572169928072744,0.11976244281111378,0.34449154305175245,0.7577095784829069,0.12049722264105839,False,Tcfap4
Neurod1_784,0.042525598263082345,0.12025556782023213,-0.07772996955714978,-1.4741644736160526,0.11288769831981174,0.4125516938295726,0.7860881371155392,0.10452875762854057,False,Neurod1
Neurod6_786,0.042525598263082345,0.12025556782023213,-0.07772996955714978,-1.4741644736160526,0.11288769831981174,0.4125516938295726,0.7860881371155392,0.10452875762854057,False,Neurod6
Atoh1_94,0.042525598263082345,0.12025556782023213,-0.07772996955714978,-1.4741644736160526,0.11288769831981174,0.4125516938295726,0.7860881371155392,0.10452875762854057,False,Atoh1
Neurod4_787,0.042525598263082345,0.12025556782023213,-0.07772996955714978,-1.4741644736160526,0.11288769831981174,0.4125516938295726,0.7860881371155392,0.10452875762854057,False,Neurod4
Nkx25_421,0.09890648026955864,0.17668906466684,-0.07778258439728136,-0.8318965674510675,0.18624416170144806,0.32236202682372017,0.7290341222013365,0.13725214419650517,False,Nkx25
Nkx22_462,0.025610267879564587,0.10352184228864705,-0.07791157440908247,-1.9617329077931354,0.09026547011492207,0.24246365426490724,0.6559906228884913,0.18310236863789323,False,Nkx22
Zfp354c_202,-0.2925283972981648,-0.21421130428149104,-0.07831709301667378,0.455761083666522,-0.4215343284941758,0.18168605338396948,0.5974259310856048,0.22371593090668374,False,Zfp354c
Gm5294_341,0.5063667491683331,0.585691042781026,-0.07932429361269289,-0.2106667204790008,0.6285672841332551,0.24016182811146625,0.6517622535209638,0.18591079508634895,False,Gm5294
Foxl1_366,0.5063667491683331,0.585691042781026,-0.07932429361269289,-0.2106667204790008,0.6285672841332551,0.24016182811146625,0.6517622535209638,0.18591079508634895,False,Foxl1
Foxd3_327,0.5063667491683331,0.585691042781026,-0.07932429361269289,-0.2106667204790008,0.6285672841332551,0.24016182811146625,0.6517622535209638,0.18591079508634895,False,Foxd3
Foxe1_328,0.5063667491683331,0.585691042781026,-0.07932429361269289,-0.2106667204790008,0.6285672841332551,0.24016182811146625,0.6517622535209638,0.18591079508634895,False,Foxe1
Foxl1_372,0.3593448129524908,0.43868224538445044,-0.07933743243195962,-0.28844305993441804,0.48440991416091,0.27114829096965953,0.6813469875647855,0.16663165988425407,False,Foxl1
Gm5294_346,0.3593448129524908,0.43868224538445044,-0.07933743243195962,-0.28844305993441804,0.48440991416091,0.27114829096965953,0.6813469875647855,0.16663165988425407,False,Gm5294
Zfp105_218,0.5999978160217211,0.6807200068622348,-0.08072219084051369,-0.18278420504203619,0.7140115118591458,0.29058967868475727,0.6988445893928709,0.15561939288561805,False,Zfp105
Msc_43,0.12507086539991083,0.20711207385936772,-0.0820412084594569,-0.7245670853063388,0.2216809597264686,0.22065990887153564,0.6477757411850252,0.18857532009051017,False,Msc
Zfp784_199,0.11520097908635263,0.1972733595875071,-0.08207238050115448,-0.7721882346314785,0.20943735625667878,0.3194830945611128,0.7281242620230013,0.13779449746487513,False,Zfp784
Irx1_565,0.04762253183534281,0.13088094813098025,-0.08325841629563743,-1.4362858148265356,0.12333741783244588,0.11701155447361358,0.4961739954121499,0.3043660009363482,False,Irx1
Smad2_861,-0.23091226889930244,-0.14744745577218937,-0.08346481312711307,0.6575747204593715,-0.3025461746227885,0.15672629211314887,0.5645638459835027,0.24828693701553464,False,Smad2
Smad9_884,-0.23091226889930244,-0.14744745577218937,-0.08346481312711307,0.6575747204593715,-0.3025461746227885,0.15672629211314887,0.5645638459835027,0.24828693701553464,False,Smad9
Smad3_723,-0.23091226889930244,-0.14744745577218937,-0.08346481312711307,0.6575747204593715,-0.3025461746227885,0.15672629211314887,0.5645638459835027,0.24828693701553464,False,Smad3
Onecut3_245,0.4244435371321252,0.5094603539754463,-0.08501681684332113,-0.26403036098729193,0.5528216119473928,0.49895979201373075,0.8731796360240288,0.05889640130179091,False,Onecut3
Zfp238_227,0.1606222772614006,0.24616142061126328,-0.08553914334986268,-0.6143808113466148,0.26710648995173764,0.17254717553235777,0.5819627055397617,0.23510484575776205,False,Zfp238
Egr3_183,-0.26880276411589904,-0.18272352742969536,-0.08607923668620368,0.564802193715666,-0.3691531123083521,0.19738556609038616,0.6036363517514834,0.21922461434094812,False,Egr3
Gm5294_348,0.3710554156654835,0.45756740596699147,-0.08651199030150797,-0.302901646568181,0.5000998156035918,0.23601623595092325,0.6517622535209638,0.18591079508634895,False,Gm5294
Foxl1_375,0.3710554156654835,0.45756740596699147,-0.08651199030150797,-0.302901646568181,0.5000998156035918,0.23601623595092325,0.6517622535209638,0.18591079508634895,False,Foxl1
