,Mono,others,delta,log2fc,A,p-val,p-adj,p-adj-log,is_significant
Tnfrsf19,0.01173925118818938,0.02035130266478704,-0.00861205147659766,-0.8028392775985315,0.022964692800905278,0.0019080427330588593,0.018829369076238743,1.7251642318313753,True
Tmem108,-0.03696569683262154,-0.02738312429117808,-0.00958257254144346,0.4998222233444676,-0.047181010118417514,9.963693052507823e-05,0.002511855391388527,2.6000053667380874,True
Gm20633,0.09715236955454647,0.10914623901337951,-0.011993869458833045,-0.17829210266983733,0.1416280637967915,0.004726771491970773,0.03673656599977285,1.4349014423974158,True
Gm15972,0.013939003230761304,0.026168174290500033,-0.012229171059738728,-0.9079532653189951,0.028644946518697367,0.00329381524613024,0.02823270210968777,1.5492475541886246,True
Peg10,0.007893705236448237,0.020934270424200287,-0.01304056518775205,-1.3548613507972282,0.02064654415690181,0.0014274626044014297,0.014921211892697872,1.826195902269709,True
Zfp612,0.009297275599553567,0.02253117267172757,-0.013233897072174004,-1.2421673392480899,0.022778597348103093,0.0011414657802022775,0.012825458204519972,1.8919271102598196,True
Exd1,-0.026398389461905248,-0.011533557324898627,-0.014864832137006621,1.4095001129392493,-0.027624918519038037,0.0024170352168518794,0.022802219026904522,1.642022887023848,True
Gm10069,-0.0036111865970666073,0.012261802875949936,-0.015872989473016543,,0.0062266442121953905,0.004298491896964015,0.034205505811384734,1.4659039830944505,True
Chadl,0.025341212002352256,0.041587509529870746,-0.01624629752751849,-0.7226025125754199,0.047488637981999225,0.0009811409163581143,0.011430408870969562,1.941938234413995,True
Palm3,0.008595890467476585,0.026001065505319092,-0.01740517503784251,-1.5340652386088256,0.024743031735406984,0.006438954364042573,0.04523855525088459,1.3444912732555918,True
X1700006J14Rik,0.006808627132102614,0.029484776817097567,-0.022676149684994953,-1.998096106665797,0.025945450375051953,0.006167180835862298,0.043964577567474725,1.3568970953933184,True
Thap8,-0.043571058241653735,-0.019156328236979193,-0.02441473000467454,1.308657413370989,-0.04597301534043103,0.00661356816520419,0.04614117324561062,1.3359113667369775,True
Esm1,0.08774410447214082,0.1168868399061538,-0.02914273543401298,-0.42068020939350603,0.14053716858207285,0.00012169846704316082,0.0027869877948815455,2.5548649331981426,True
B3galt1,-0.01902484455445313,0.010464838970253324,-0.029489683524706455,,-0.006187990578085379,0.007552131178162857,0.049853969640225565,1.3023002551215028,True
Igll1,-0.02145512820937463,0.009341234122545693,-0.030796362331920322,,-0.008764898603465885,0.0007208100534743447,0.009241154531722369,2.0342737673693305,True
Sult4a1,-0.02535638551438822,0.005757124517789823,-0.031113510032178045,,-0.014207607233247243,0.00034086756550072477,0.005613862083637537,2.2507382609304565,True
Olfm1,-0.8331106409181759,-0.8010666893478833,-0.032043951570292606,0.05833294939889576,-2.450783614389725,0.006683516383089244,0.04641330821589753,1.3333574751339856,True
Rgs9,-0.02170383003473866,0.011372356372222652,-0.03307618640696131,,-0.00747189849821865,2.135810822975965e-05,0.000877730475195602,3.056638822482516,True
Gm26762,0.0019019130977458675,0.03504229553300507,-0.03314038243525921,-3.63827280769173,0.02640646580501399,0.003152761658731346,0.027336083746225544,1.563263703712223,True
Rasgrp1,-0.10014078175189382,-0.06672044715148581,-0.03342033460040801,0.6141949359650732,-0.12568399601262686,0.007114489344274341,0.04796284951196184,1.3190950230177434,True
Ano3,-0.006272164996021318,0.028606439483420152,-0.034878604479441466,,0.01602148205134816,0.005086655283846656,0.03863282494060752,1.4130435338624052,True
B3galnt1,-0.054758509875040995,-0.019793034121284473,-0.034965475753756525,1.5932212402220935,-0.054805497100474755,0.0008615992875950284,0.010590925703913191,1.9750660785581284,True
Usp18,-0.08818448808778258,-0.05200313015471382,-0.03618135793306876,0.8008452215696518,-0.10484291068846235,0.0003695842810940351,0.005993258612335704,2.2223369818584775,True
Dnah12,-0.01410544392766572,0.02219023707642919,-0.036295681004094915,,0.005820189643478781,2.8026465010340647e-05,0.0010380172226052092,2.983795440687604,True
Gm6525,-0.036674704822400296,0.0011682658910906196,-0.037842970713490916,,-0.02584256085165332,1.3288743097708579e-05,0.000664437154885429,3.1775460900819503,True
Cited4,0.010285398414902485,0.04824252595044478,-0.0379571275355423,-2.145154481239889,0.04161301925435286,0.00015024332043259218,0.003196666392182812,2.4953026848399773,True
Ripor3,-0.04275401794227313,-0.0047659569200109025,-0.03798806102226223,3.913541257119258,-0.03469221106023256,0.00013092279375114552,0.002975518039798762,2.526437412375726,True
Tpbgl,-0.02327039005111009,0.0152397961142498,-0.038510186165359894,,-0.005804510254616341,9.136310959707914e-06,0.0004645581843919279,3.332959884301467,True
