,Lym,others,delta,log2fc,A,p-val,p-adj,p-adj-log,is_significant,tf_name
Sox15_737,0.01738319498267191,0.04197620324211126,-0.024593008259439348,-0.8171656616070192,0.04219563025653291,0.8356903745855848,0.9543577450158396,0.02028879766200524,False,Sox15
Osr1_206,0.04943844133312785,0.07413694894872856,-0.02469850761560071,-0.41727550250496676,0.08649532754807664,0.7854236917371569,0.9455759344971589,0.024303589390152546,False,Osr1
Pou2f1_619,0.25751362508255016,0.2830071233419544,-0.025493498259404224,-0.10451908916969882,0.3451242466693414,0.8938380841000867,0.9708930913500943,0.01282858924020212,False,Pou2f1
Klf6_794,-0.14016129234230457,-0.11446749539925506,-0.025693796943049504,0.2374152807122532,-0.1964660930038511,0.824824931976843,0.9543577450158396,0.02028879766200524,False,Klf6
Klf3_804,-0.14016129234230457,-0.11446749539925506,-0.025693796943049504,0.2374152807122532,-0.1964660930038511,0.824824931976843,0.9543577450158396,0.02028879766200524,False,Klf3
Klf2_819,-0.14016129234230457,-0.11446749539925506,-0.025693796943049504,0.2374152807122532,-0.1964660930038511,0.824824931976843,0.9543577450158396,0.02028879766200524,False,Klf2
Tlx1_450,0.1592030479367149,0.18529438529094033,-0.026091337354225447,-0.16737169043698596,0.22927869958688024,0.8613022359056295,0.955557952287755,0.019742968896179148,False,Tlx1
Tlx3_522,0.1592030479367149,0.18529438529094033,-0.026091337354225447,-0.16737169043698596,0.22927869958688024,0.8613022359056295,0.955557952287755,0.019742968896179148,False,Tlx3
Ybx1_822,-0.09696910789618052,-0.06999782752902783,-0.026971280367152684,0.39467886376671785,-0.12576719029904312,0.987171985218281,0.9973490159937272,0.0011528364771164555,False,Ybx1
Ybx2_821,-0.09696910789618052,-0.06999782752902783,-0.026971280367152684,0.39467886376671785,-0.12576719029904312,0.987171985218281,0.9973490159937272,0.0011528364771164555,False,Ybx2
Csda_823,-0.09696910789618052,-0.06999782752902783,-0.026971280367152684,0.39467886376671785,-0.12576719029904312,0.987171985218281,0.9973490159937272,0.0011528364771164555,False,Csda
Foxl1_361,0.25254060842743326,0.27958772268397597,-0.027047114256542715,-0.1144272597423395,0.3403505240262556,0.7051526107297847,0.9138997394665197,0.039101446481490026,False,Foxl1
