,Baso/Eos/Mast,Ery/Meg,Neutro,Progenitors,Lym_pDC_Ccr7DC,Mono
Emx1-491,-0.137647212099238,0.16537707575689375,0.09299377793561543,0.18117287455163913,0.31688722558963195,0.1627866086013825
Hoxc12-550,0.03564658756828882,0.2989577174285442,0.026798196343180314,0.3252297352387542,0.46188301487314803,0.21501693677651446
Runx2-713,0.18767074225578087,0.8558187157225627,-1.213418125112098,1.0950422081783022,0.8115051739049053,0.09715222560871167
Atoh8-67,0.5262311591844062,0.6446481532239503,0.25936312255101274,1.3816395972722737,1.1792701080228123,0.47950407517665006
Id3-22,0.22879937586726606,0.6281142146473868,0.402134128976118,1.4625997762301066,0.8990382159947715,0.35161272832775947
Id4-35,0.22879937586726606,0.6281142146473868,0.402134128976118,1.4625997762301066,0.8990382159947715,0.35161272832775947
Mesp2-57,0.2630738149007004,0.7031697175281515,0.354984849999199,1.449958941941566,0.7310760107059727,0.36736822768413635
Mesp1-58,0.2630738149007004,0.7031697175281515,0.354984849999199,1.449958941941566,0.7310760107059727,0.36736822768413635
Snai2-799,0.4793007599737548,0.5043224865448589,0.3176533393945059,1.3174406359811075,0.8711815874021644,0.25329287692076535
Tcf3-31,0.3641766965884889,0.5185383972457966,0.14556025036233491,1.337573155036425,0.8073281973086138,0.32646215530503464
Tcf4-88,0.2219625082718566,0.6122138677134881,0.09595246318525832,1.396438349820808,0.6789285584506296,0.3613350478025611
E2f8-263,0.3320408557612938,0.5872314149778529,0.26894355879355997,0.47651420337531497,0.5885375134405026,0.30891943999587396
Dbx1-480,0.0854608537607808,0.4875759054167538,0.2136218819158154,0.6273897703345696,0.1844510668555059,0.28484661263062083
Stat3-754,0.016514282942183725,0.7257695075782223,0.2262870968204323,0.522906954271617,0.3660105823211292,0.5523192208252987
Foxl1-355,0.7286272818010194,0.8445320985615068,0.5502885050119547,0.5620032366510423,0.25923026716367614,0.3566170408124712
Stat1-757,0.6807771456611379,0.8205472126913418,0.23890441495726844,0.5916959650658645,0.215945634099943,0.48764234135957946
Arid3c-10,0.8311345146446362,0.7600886675678467,0.358493715729427,0.864270355463073,0.8642836775976792,0.5022379477680148
Arid3a-7,0.40695903269588585,1.0502726366208912,0.38699468646553975,0.7862937507433823,0.5681851704303372,0.4266967335715029
Gm5294-337,0.49629814619190893,0.7295388900048857,0.7970436137975632,0.9126336551256543,0.6389902088964967,0.5311802862458219
Foxl1-358,0.49629814619190893,0.7295388900048857,0.7970436137975632,0.9126336551256543,0.6389902088964967,0.5311802862458219
